R;		Complexity;		$\sigma$;		$\ell$;		$\omega_1$;		$\omega_2$;		$nu_1$;		$nu_2$;		$\ell_1$;		$\ell_2$;		$\pi_1$;		$\pi_2$;		$tau$
0.010000000000;	0.005398695892;	 0.005398646327;	 0.004599667531;	 0.000000845979;	 0.000860756636;	 0.000000704983;	 0.438805949195;	 0.000430488414;	 0.000863497784;	 0.000215244486;	 0.000430488414;	 0.441197611262
0.020000000000;	0.010106288002;	 0.010099155067;	 0.009894591422;	 0.000003118058;	 0.001911929565;	 0.000000000000;	 0.412639423009;	 0.000956887926;	 0.001931769726;	 0.000478444092;	 0.000956887926;	 0.416937481940
0.030000000000;	0.014469159151;	 0.014465536359;	 0.015533251507;	 0.000000606067;	 0.003071233403;	 0.000000606067;	 0.392494306873;	 0.001535616960;	 0.003071233403;	 0.000767808637;	 0.001535616960;	 0.398388300731
0.040000000000;	0.018571320663;	 0.018564253548;	 0.021413940720;	 0.000010913616;	 0.004312742477;	 0.000006728374;	 0.375489093885;	 0.002159233569;	 0.004369471766;	 0.001079616795;	 0.002159233569;	 0.382806394431
0.050000000000;	0.022479057824;	 0.022424230210;	 0.027484417361;	 0.000045675321;	 0.005619842198;	 0.000001271566;	 0.360696536149;	 0.002818041827;	 0.005768545511;	 0.001409021202;	 0.002818041827;	 0.369127748985
0.060000000000;	0.026179733359;	 0.026132711410;	 0.033833935260;	 0.000016675801;	 0.007004359925;	 0.000000000000;	 0.347032898984;	 0.003608333481;	 0.007700055679;	 0.001776173522;	 0.003546010996;	 0.356806060828
0.070000000000;	0.029816025034;	 0.029766472297;	 0.040232330198;	 0.000000599567;	 0.008419744549;	 0.000000300000;	 0.334557706670;	 0.004443212407;	 0.010465860617;	 0.002181922946;	 0.004354566096;	 0.345516451281
0.080000000000;	0.033380890158;	 0.033292176988;	 0.046598868487;	 0.000054493233;	 0.009859555441;	 0.000001059638;	 0.323322955557;	 0.005315176337;	 0.013306688210;	 0.002601358074;	 0.005189126019;	 0.335047023973
0.090000000000;	0.036857991611;	 0.036590563537;	 0.053002933791;	 0.000203251704;	 0.011306086954;	 0.000010266716;	 0.312322180416;	 0.006222801841;	 0.016411601023;	 0.003037563642;	 0.006056796306;	 0.325250447385
0.100000000000;	0.040200775994;	 0.040126502246;	 0.059610826792;	 0.000131345746;	 0.012877621366;	 0.000036937819;	 0.302586170383;	 0.007197112617;	 0.019482695582;	 0.003502052604;	 0.006979491386;	 0.316019346324
