R;	 Complexity;	 $\sigma$;	 $\nu$;	 $\omega$;	 $\tau$
0.000010000000;		0.000007178803;		0.000007178803;		0.498134777383;		0.000000443496;		0.498138353445
0.000014125375;		0.000010066747;		0.000010066747;		0.497782418890;		0.000000641631;		0.497787429977
0.000019952623;		0.000014111275;		0.000014111273;		0.497363335857;		0.000000928850;		0.497370357370
0.000028183829;		0.000019772783;		0.000019772759;		0.496864838286;		0.000001345545;		0.496874666849
0.000039810717;		0.000027693730;		0.000027693730;		0.496271779538;		0.000001950499;		0.496285539578
0.000056234133;		0.000038769166;		0.000038769149;		0.495566145368;		0.000002829612;		0.495585363890
0.000079432823;		0.000054245824;		0.000054245796;		0.494726356443;		0.000004108118;		0.494753209212
0.000112201845;		0.000075857668;		0.000075857624;		0.493726703235;		0.000005969252;		0.493764201069
0.000158489319;		0.000106013378;		0.000106013257;		0.492536491133;		0.000008681407;		0.492588778714
0.000223872114;		0.000148055054;		0.000148054818;		0.491118984168;		0.000012637908;		0.491191813530
0.000316227766;		0.000206611697;		0.000206611186;		0.489430228711;		0.000018416343;		0.489531562465
0.000446683592;		0.000288084444;		0.000288083387;		0.487417640738;		0.000026866400;		0.487558426208
0.000630957344;		0.000401306041;		0.000401303795;		0.485018213461;		0.000039240148;		0.485213476687
0.000891250938;		0.000558436531;		0.000558431688;		0.482156353728;		0.000057386112;		0.482426712715
0.001258925412;		0.000776170480;		0.000776160370;		0.478741482029;		0.000084040003;		0.479114996434
0.001778279410;		0.001077354221;		0.001077332911;		0.474664875157;		0.000123260015;		0.475179616904
0.002511886432;		0.001493132671;		0.001493087219;		0.469796079763;		0.000181082918;		0.470503421567
0.003548133892;		0.002065768756;		0.002065671968;		0.463978726413;		0.000266516322;		0.464947452590
0.005011872336;		0.002852291530;		0.002852083735;		0.457025515703;		0.000393048041;		0.458347025913
0.007079457844;		0.003929123153;		0.003928677410;		0.448712826813;		0.000580955877;		0.450507200456
0.010000000000;		0.005397782220;		0.005396835670;		0.438774844484;		0.000860867913;		0.441197611262
0.020000000000;		0.010104522384;		0.010100043620;		0.412603387828;		0.001912613882;		0.416937481940
0.030000000000;		0.014710609342;		0.014707457941;		0.392405700182;		0.003001806069;		0.398388300731
0.040000000000;		0.019237727619;		0.019232133399;		0.375258019451;		0.004120628249;		0.382806394431
0.050000000000;		0.023667904577;		0.023659157591;		0.360138607196;		0.005274604636;		0.369127748985
0.060000000000;		0.028017983304;		0.028005395105;		0.346482618192;		0.006459320717;		0.356806060828
0.070000000000;		0.032299445639;		0.032282324606;		0.333951778721;		0.007671802767;		0.345516451281
0.080000000000;		0.036520662402;		0.036498336895;		0.322324398316;		0.008909929428;		0.335047023973
0.090000000000;		0.040688027750;		0.040659822195;		0.311445222380;		0.010172113777;		0.325250447385
0.100000000000;		0.044806596827;		0.044771895664;		0.301201076148;		0.011457158260;		0.316019346324
0.110000000000;		0.048880473146;		0.048838575938;		0.291504710194;		0.012764084597;		0.307272585479
0.120000000000;		0.052913058248;		0.052863307590;		0.282288992487;		0.014092151728;		0.298947074239
