$R$;	  Complexity;	  $\sigma$;	  $\ell$;	  $\omega_1$;	  $\omega_2$;	  $\nu_1$;	  $\nu_2$;	  $\tau$
0.000010000000;	  0.000007179654;	  0.000007176649;	  0.000002820331;	  0.000000001502;	  0.000000443517;	  0.000000000100;	  0.498134778335;	  0.498138353445
0.000014125375;	  0.000010067914;	  0.000010063882;	  0.000004056711;	  0.000000002401;	  0.000000641396;	  0.000000000100;	  0.497782420166;	  0.497787429977
0.000019952623;	  0.000014111787;	  0.000014111081;	  0.000005839946;	  0.000000000790;	  0.000000928756;	  0.000000000200;	  0.497363338746;	  0.497370357370
0.000028183829;	  0.000019773271;	  0.000019772008;	  0.000008410543;	  0.000000000637;	  0.000001345637;	  0.000000000200;	  0.496864842465;	  0.496874666849
0.000039810717;	  0.000027694771;	  0.000027690658;	  0.000012115915;	  0.000000002053;	  0.000001950470;	  0.000000000103;	  0.496271796968;	  0.496285539578
0.000056234133;	  0.000038769641;	  0.000038768193;	  0.000017464469;	  0.000000000726;	  0.000002829495;	  0.000000000000;	  0.495566151007;	  0.495585363890
0.000079432823;	  0.000054246834;	  0.000054244556;	  0.000025184828;	  0.000000001722;	  0.000004107880;	  0.000000000200;	  0.494726371328;	  0.494753209212
0.000112201845;	  0.000075858389;	  0.000075857053;	  0.000036342418;	  0.000000001186;	  0.000005969107;	  0.000000000200;	  0.493726745288;	  0.493764201069
0.000158489319;	  0.000106013878;	  0.000106012608;	  0.000052475406;	  0.000000000671;	  0.000008681330;	  0.000000000000;	  0.492536558042;	  0.492588778714
0.000223872114;	  0.000148055552;	  0.000148054669;	  0.000075816523;	  0.000000000460;	  0.000012637824;	  0.000000000000;	  0.491119090010;	  0.491191813530
0.000316227766;	  0.000206612311;	  0.000206612311;	  0.000109613818;	  0.000000000826;	  0.000018416146;	  0.000000000200;	  0.489430404823;	  0.489531562465
0.000446683592;	  0.000288085796;	  0.000288085068;	  0.000158597748;	  0.000000000377;	  0.000026866338;	  0.000000000000;	  0.487417967465;	  0.487558426208
0.000630957344;	  0.000401308551;	  0.000401308154;	  0.000229640350;	  0.000000004421;	  0.000039239389;	  0.000000003903;	  0.485018358485;	  0.485213476687
0.000891250938;	  0.000558441402;	  0.000558441198;	  0.000332807415;	  0.000000001179;	  0.000057385903;	  0.000000000400;	  0.482157303625;	  0.482426712715
0.001258925412;	  0.000776174903;	  0.000776169828;	  0.000482743280;	  0.000000006163;	  0.000084038998;	  0.000000003268;	  0.478742066490;	  0.479114996434
0.001778279410;	  0.001077374103;	  0.001077373938;	  0.000700902171;	  0.000000001651;	  0.000123259691;	  0.000000000100;	  0.474667642568;	  0.475179616904
0.002511886432;	  0.001493172295;	  0.001493143999;	  0.001018709363;	  0.000000016526;	  0.000181080202;	  0.000000000000;	  0.469800226747;	  0.470503421567
0.003548133892;	  0.002065817359;	  0.002065571196;	  0.001482373083;	  0.000000094798;	  0.000266500350;	  0.000000001135;	  0.463979299728;	  0.464947452590
0.005011872336;	  0.002852409404;	  0.002852141034;	  0.002159499595;	  0.000000115857;	  0.000393028849;	  0.000000000000;	  0.457032686170;	  0.458347025913
0.007079457844;	  0.003929376641;	  0.003928298967;	  0.003150172291;	  0.000000493314;	  0.000580864040;	  0.000000010930;	  0.448717081875;	  0.450507200456
0.010000000000;	  0.005398266254;	  0.005397888808;	  0.004601215467;	  0.000000447844;	  0.000860780085;	  0.000000004161;	  0.438808552299;	  0.441197611262
