$R$;		Complexity;		$\sigma$;		$\nu$;		$\omega$;		$\tau$
0.000100000000;		0.000067840200;		0.000067839780;		0.494079465834;		0.000005269727;		0.494113017898
0.000125892541;		0.000084817707;		0.000084817649;		0.493352832543;		0.000006762305;		0.493394717201
0.000158489319;		0.000106014089;		0.000106013979;		0.492536499480;		0.000008681445;		0.492588778714
0.000199526231;		0.000132466550;		0.000132466351;		0.491619288029;		0.000011149805;		0.491684512373
0.000251188643;		0.000165469159;		0.000165468814;		0.490588587571;		0.000014325391;		0.490669925115
0.000316227766;		0.000206612349;		0.000206611851;		0.489430233606;		0.000018416211;		0.489531562465
0.000398107171;		0.000257894681;		0.000257893858;		0.488128142043;		0.000023685547;		0.488254331018
0.000501187234;		0.000321785603;		0.000321784392;		0.486664280828;		0.000030475977;		0.486821299610
0.000630957344;		0.000401312498;		0.000401310429;		0.485018219364;		0.000039238672;		0.485213476687
0.000794328235;		0.000500259646;		0.000500255877;		0.483166925030;		0.000050549414;		0.483409561180
0.001000000000;		0.000623302359;		0.000623296709;		0.481084514076;		0.000065156250;		0.481385663929
0.001258925412;		0.000776173593;		0.000776164035;		0.478741523001;		0.000084039258;		0.479114996434
0.001584893192;		0.000965964450;		0.000965948285;		0.476104861938;		0.000108467578;		0.476567523522
0.001995262315;		0.001201389615;		0.001201361600;		0.473137070916;		0.000140094922;		0.473709576289
0.002511886432;		0.001493134152;		0.001493086460;		0.469795963214;		0.000181082617;		0.470503421567
0.003162277660;		0.001854291863;		0.001854217211;		0.466034132580;		0.000234251367;		0.466906784188
0.003981071706;		0.002300853361;		0.002300728314;		0.461797426083;		0.000303293164;		0.462872318477
0.005011872336;		0.002852291565;		0.002852084371;		0.457025536095;		0.000393048047;		0.458347025913
0.006309573445;		0.003532242722;		0.003531900118;		0.451650346208;		0.000509872852;		0.453271616816
0.007943282347;		0.004369279121;		0.004368703808;		0.445595170943;		0.000662133984;		0.447579815550
0.010000000000;		0.005397782628;		0.005396831706;		0.438774749673;		0.000860867969;		0.441197611262
